Unnamed: 0,Coal-kiln,Coal-MEA,Coal-MEA(HP),Coal-Oxy,Coal-CaL,NG,NG-MEA,NG-MEA(HP),NG-oxy,NG-CaL,BG,BG-MEA,BG-MEA(HP),BG-oxy,BG-CaL,BM,BM-MEA,BM-MEA(HP),BM-Oxy,BM-CaL,RDF,RDF-MEA,RDF-MEA(HP),RDF-Oxy,RDF-CaL,H2,H2-MEA,H2-MEA(HP),H2-Oxy,H2-CaL,Plasma,Hybrid
Power Recovered,-0.11,-0.0,-0.11,-0.08,-0.37,-0.12,-0.0,-0.12,-0.08,-0.34,-0.12,-0.0,-0.12,-0.08,-0.34,-0.14,-0.0,-0.14,-0.07,-0.41,-0.18,-0.0,-0.18,-0.07,-0.48,-0.11,-0.0,-0.11,-0.08,-0.31,-0.06,-0.07
Heat Recovered,-0.0,-0.6,-0.0,-0.0,-0.0,-0.0,-0.54,-0.0,-0.0,-0.0,-0.0,-0.48,-0.0,-0.0,-0.0,-0.0,-0.64,-0.0,-0.0,-0.0,-0.0,-0.78,-0.0,-0.0,-0.0,-0.0,-0.48,-0.0,-0.0,-0.0,-0.0,-0.0
P-ASU,0.0,0.0,0.0,0.19,0.16,0.0,0.0,0.0,0.21,0.14,0.0,0.0,0.0,0.21,0.14,0.0,0.0,0.0,0.18,0.14,0.0,0.0,0.0,0.22,0.19,0.0,0.0,0.0,0.19,0.12,0.0,0.0
P-CPU,0.0,0.0,0.0,0.94,0.48,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.81,0.41,0.0,0.0,0.0,0.94,0.5,0.0,0.0,0.0,0.99,0.56,0.0,0.0,0.0,0.7,0.35,0.2,0.71
P-Heat Pumps,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0
P-MEA,0.0,0.28,0.23,0.0,0.0,0.0,0.24,0.2,0.0,0.0,0.0,0.24,0.2,0.0,0.0,0.0,0.29,0.24,0.0,0.0,0.0,0.32,0.27,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0
Fuel Demand (CC-CaL),0.0,0.0,0.0,0.0,2.63,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,3.09,0.0,0.0,0.0,0.0,1.93,0.0,0.0
Fuel Demand boiler,0.0,3.02,0.16,0.0,0.0,0.0,2.44,0.14,0.0,0.0,0.0,2.45,0.13,0.0,0.0,0.0,3.0,0.16,0.0,0.0,0.0,3.29,0.21,0.0,0.0,0.0,1.63,0.11,0.0,0.0,0.0,0.0
P-Process,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.4,0.4,4.4,3.4
Fuel Demand Process,3.46,3.46,3.46,3.17,3.48,3.52,3.52,3.52,3.17,3.55,3.52,3.52,3.52,3.17,3.53,3.82,3.82,3.82,3.13,3.82,4.34,4.34,4.34,3.14,4.34,3.48,3.48,3.48,3.17,3.49,0.0,1.04
total energy,3.76,7.17,5.21,4.63,6.78,3.81,6.6,5.05,4.52,5.99,3.81,6.61,5.05,4.52,6.39,4.08,7.52,5.61,4.59,7.2,4.56,8.35,6.3,4.68,8.1,3.77,5.28,4.42,4.39,5.99,4.54,5.07
Emissions Impact (right y-axis),0.82,0.19,0.12,0.06,0.14,0.75,0.21,0.16,0.1,0.17,0.53,-0.18,-0.07,-0.11,-0.06,0.67,-0.19,-0.06,-0.1,-0.04,0.75,-0.22,-0.07,-0.15,-0.06,0.71,0.27,0.2,0.14,0.21,0.08,-0.01
